<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.16	08:00:00	1859.80	1861.47	1856.85	1859.88	14065	0	23
2021.06.16	12:00:00	1859.88	1860.53	1852.75	1857.61	16008	0	23
2021.06.16	16:00:00	1857.61	1861.44	1854.85	1859.21	22499	0	23
2021.06.16	20:00:00	1859.18	1862.68	1803.29	1811.68	28330	0	23
2021.06.17	00:00:00	1811.65	1819.68	1809.60	1817.58	10303	0	29
2021.06.17	04:00:00	1817.57	1825.12	1815.84	1821.29	17398	0	25
2021.06.17	08:00:00	1821.30	1821.31	1802.61	1804.59	24296	0	23
2021.06.17	12:00:00	1804.54	1808.32	1775.78	1785.43	28420	0	23
2021.06.17	16:00:00	1785.20	1790.35	1767.06	1770.56	37567	0	23
2021.06.17	20:00:00	1770.55	1781.85	1769.47	1772.84	18868	0	23
2021.06.18	00:00:00	1772.57	1779.51	1772.57	1779.04	6611	0	29
2021.06.18	04:00:00	1779.00	1787.06	1777.18	1784.39	13417	0	27
2021.06.18	08:00:00	1784.49	1794.48	1781.99	1791.00	23975	0	23
2021.06.18	12:00:00	1791.00	1797.18	1775.07	1777.14	24087	0	23
2021.06.18	16:00:00	1777.23	1780.74	1768.99	1771.85	34991	0	23
2021.06.18	20:00:00	1771.72	1774.54	1760.74	1763.73	19132	0	23
2021.06.21	00:00:00	1764.72	1773.14	1764.65	1773.01	7604	0	28
2021.06.21	04:00:00	1773.01	1776.78	1770.50	1773.02	22410	0	23
2021.06.21	08:00:00	1773.00	1785.49	1766.32	1784.74	25018	0	23
2021.06.21	12:00:00	1784.74	1785.72	1773.72	1774.87	22571	0	23
2021.06.21	16:00:00	1774.80	1786.39	1773.33	1783.05	31521	0	23
2021.06.21	20:00:00	1783.12	1785.10	1781.96	1782.66	14718	0	23
2021.06.22	00:00:00	1782.39	1787.46	1782.39	1785.80	5430	0	23
2021.06.22	04:00:00	1785.80	1789.96	1782.73	1787.89	11272	0	23
2021.06.22	08:00:00	1787.92	1787.98	1776.34	1778.48	22486	0	23
2021.06.22	12:00:00	1778.38	1787.47	1772.21	1774.58	22207	0	23
2021.06.22	16:00:00	1774.55	1781.26	1772.88	1778.16	28858	0	23
2021.06.22	20:00:00	1778.19	1783.02	1775.04	1778.50	17955	0	23
2021.06.23	00:00:00	1777.92	1779.55	1777.13	1778.67	5127	0	24
2021.06.23	04:00:00	1778.69	1783.81	1777.66	1781.85	14828	0	25
2021.06.23	08:00:00	1781.85	1784.42	1777.46	1782.60	19077	0	23
2021.06.23	12:00:00	1782.61	1786.82	1779.82	1782.34	18754	0	23
2021.06.23	16:00:00	1782.35	1794.85	1781.24	1783.22	27947	0	23
2021.06.23	20:00:00	1783.23	1783.75	1773.11	1779.08	14112	0	23
2021.06.24	00:00:00	1778.58	1779.99	1774.05	1778.67	4446	0	25
2021.06.24	04:00:00	1778.62	1779.90	1772.82	1774.98	14542	0	25
2021.06.24	08:00:00	1775.02	1782.24	1773.82	1779.64	18386	0	23
2021.06.24	12:00:00	1779.63	1787.92	1779.40	1783.21	19334	0	23
2021.06.24	16:00:00	1783.21	1786.69	1775.76	1776.60	26051	0	23
2021.06.24	20:00:00	1776.57	1777.72	1773.52	1774.68	13064	0	23
2021.06.25	00:00:00	1775.51	1777.02	1773.59	1773.90	4273	0	26
2021.06.25	04:00:00	1773.98	1779.50	1773.60	1776.09	14486	0	24
2021.06.25	08:00:00	1776.10	1783.63	1775.62	1782.58	17945	0	26
2021.06.25	12:00:00	1782.58	1790.22	1781.21	1785.29	17763	0	23
2021.06.25	16:00:00	1785.31	1789.62	1776.15	1776.98	27937	0	23
2021.06.25	20:00:00	1776.95	1781.07	1776.54	1780.89	11792	0	23
2021.06.28	00:00:00	1781.03	1782.73	1779.88	1780.48	4964	0	23
2021.06.28	04:00:00	1780.36	1781.57	1770.52	1780.71	16892	0	23
2021.06.28	08:00:00	1780.71	1785.63	1774.02	1779.08	19655	0	23
2021.06.28	12:00:00	1779.08	1779.43	1773.29	1777.50	16639	0	23
2021.06.28	16:00:00	1777.48	1782.83	1776.90	1779.44	26322	0	23
2021.06.28	20:00:00	1779.43	1780.44	1777.58	1777.89	11148	0	23
2021.06.29	00:00:00	1778.03	1778.56	1775.14	1775.70	4045	0	30
2021.06.29	04:00:00	1775.75	1777.54	1773.68	1774.47	13757	0	23
2021.06.29	08:00:00	1774.46	1778.81	1767.36	1769.30	18139	0	23
2021.06.29	12:00:00	1769.27	1775.83	1750.50	1754.61	21022	0	23
2021.06.29	16:00:00	1754.65	1765.72	1751.20	1763.03	30081	0	23
2021.06.29	20:00:00	1762.92	1765.37	1760.06	1760.88	11642	0	23
2021.06.30	00:00:00	1760.04	1762.81	1760.04	1762.38	3588	0	29
2021.06.30	04:00:00	1762.38	1764.50	1757.41	1758.88	12215	0	26
2021.06.30	08:00:00	1758.90	1760.88	1753.23	1756.42	18238	0	23
2021.06.30	12:00:00	1756.42	1761.77	1754.94	1757.07	19869	0	23
2021.06.30	16:00:00	1757.06	1774.28	1754.76	1772.11	28781	0	23
2021.06.30	20:00:00	1772.11	1772.81	1768.07	1770.33	14438	0	23
2021.07.01	00:00:00	1769.69	1770.12	1766.17	1766.22	4451	0	24
2021.07.01	04:00:00	1766.24	1776.52	1765.54	1774.43	14168	0	24
2021.07.01	08:00:00	1774.43	1778.94	1772.98	1774.49	19785	0	25
2021.07.01	12:00:00	1774.35	1779.64	1772.28	1777.58	19390	0	23
2021.07.01	16:00:00	1777.58	1782.73	1768.23	1771.68	27338	0	23
2021.07.01	20:00:00	1771.61	1776.80	1771.55	1776.55	11136	0	23
2021.07.02	00:00:00	1774.45	1778.29	1774.45	1777.13	3819	0	30
2021.07.02	04:00:00	1777.08	1779.71	1776.22	1777.89	12466	0	23
2021.07.02	08:00:00	1777.89	1784.14	1774.17	1781.87	16772	0	23
2021.07.02	12:00:00	1781.84	1793.68	1775.85	1789.55	20190	0	23
2021.07.02	16:00:00	1789.45	1794.97	1777.71	1781.91	27838	0	23
2021.07.02	20:00:00	1781.89	1791.71	1781.64	1787.02	10978	0	23
